distance,traffic,weather,stock,delay,eta
79,High,Rain,No,1,4.816666666666666
1991,Low,Rain,No,1,36.18333333333333
361,Low,Clear,Yes,0,6.016666666666667
1650,Low,Clear,Yes,0,28.0
906,High,Clear,No,1,17.6
1937,High,Clear,No,1,35.28333333333333
288,High,Clear,No,1,7.3
244,Low,Clear,Yes,0,4.066666666666666
500,Medium,Rain,No,1,11.333333333333334
681,Low,Rain,Yes,0,12.35
805,Low,Clear,No,0,14.916666666666666
288,Medium,Clear,No,1,6.8
1514,High,Clear,Yes,0,26.733333333333334
1151,Medium,Rain,Yes,1,21.183333333333334
207,Medium,Clear,No,1,5.45
875,Medium,Rain,No,1,17.583333333333336
435,Low,Clear,Yes,0,7.25
373,High,Rain,No,1,9.716666666666667
1406,Low,Rain,No,1,26.433333333333334
403,Medium,Clear,No,1,8.716666666666667
533,Medium,Rain,No,1,11.883333333333333
383,Low,Rain,No,1,8.883333333333333
202,High,Clear,Yes,0,4.366666666666667
153,Low,Clear,Yes,0,2.55
216,Medium,Clear,Yes,0,4.1
1448,Low,Clear,Yes,0,24.633333333333333
1228,High,Rain,No,1,24.466666666666665
1916,High,Clear,Yes,0,33.43333333333334
1117,High,Rain,Yes,1,21.116666666666667
1041,High,Rain,Yes,1,19.85
1948,Medium,Rain,No,1,35.96666666666667
1501,Low,Clear,Yes,0,25.516666666666666
865,High,Rain,No,1,17.916666666666664
1069,Low,Rain,Yes,0,19.316666666666666
1187,High,Clear,Yes,0,21.283333333333335
459,Low,Rain,No,1,10.15
1073,High,Rain,Yes,1,20.383333333333333
1201,High,Clear,No,1,23.016666666666666
1877,Low,Rain,Yes,0,32.78333333333333
1212,Medium,Rain,Yes,1,22.2
1597,Medium,Rain,Yes,1,28.616666666666667
1450,High,Clear,Yes,0,25.666666666666668
98,Low,Rain,Yes,0,2.6333333333333333
1612,Low,Clear,Yes,0,27.366666666666667
60,Medium,Clear,Yes,0,1.5
50,High,Clear,Yes,0,1.8333333333333335
789,Low,Clear,No,0,14.65
1641,High,Rain,No,1,31.35
322,Low,Rain,Yes,0,6.366666666666666
664,Medium,Clear,Yes,0,11.566666666666666
729,Low,Clear,Yes,0,12.15
61,Medium,Rain,Yes,0,2.5166666666666666
1559,Low,Rain,No,1,28.983333333333334
806,High,Clear,No,1,15.933333333333334
959,Low,Rain,No,1,18.483333333333334
1423,Low,Rain,No,1,26.716666666666665
498,Medium,Clear,Yes,0,8.8
498,High,Rain,No,1,11.8
660,Low,Clear,Yes,0,11.0
982,High,Clear,Yes,0,17.366666666666667
118,High,Rain,Yes,1,3.966666666666667
1969,High,Rain,Yes,1,35.31666666666667
112,Low,Clear,Yes,0,1.8666666666666667
832,High,Rain,No,1,17.366666666666667
1446,Medium,Clear,No,1,26.6
551,Medium,Rain,Yes,0,10.683333333333334
1258,Low,Clear,No,1,22.966666666666665
1533,High,Clear,No,1,28.55
1388,High,Clear,No,1,26.133333333333333
1463,High,Clear,Yes,0,25.883333333333333
1864,Medium,Rain,No,1,34.56666666666666
639,High,Rain,No,1,14.15
1470,Low,Rain,No,1,27.5
1776,High,Rain,Yes,1,32.1
542,Medium,Rain,Yes,0,10.533333333333333
1216,Medium,Rain,Yes,1,22.266666666666666
546,High,Clear,No,1,11.6
1391,Medium,Clear,No,1,25.683333333333334
1820,Low,Clear,No,1,32.33333333333333
463,Medium,Clear,No,1,9.716666666666667
331,High,Clear,No,1,8.016666666666666
958,High,Clear,Yes,0,16.96666666666667
1520,Medium,Clear,No,1,27.833333333333332
1323,Low,Rain,No,1,25.05
442,Medium,Rain,No,1,10.366666666666667
643,Low,Rain,Yes,0,11.716666666666667
1176,High,Clear,Yes,0,21.1
540,High,Clear,Yes,0,10.0
57,Medium,Rain,No,1,3.95
494,Medium,Clear,Yes,0,8.733333333333333
1475,Medium,Clear,No,1,27.083333333333332
737,High,Rain,No,1,15.783333333333333
984,Low,Clear,No,0,17.9
592,Low,Clear,Yes,0,9.866666666666667
1971,Medium,Rain,Yes,1,34.85
284,High,Rain,No,1,8.233333333333334
164,Low,Rain,No,1,5.233333333333333
857,Medium,Rain,No,1,17.28333333333333
728,High,Rain,No,1,15.633333333333333
208,High,Rain,No,1,6.966666666666667
1755,Low,Rain,No,1,32.25
1466,High,Rain,Yes,1,26.933333333333334
1055,Medium,Clear,No,1,20.083333333333332
1032,Medium,Rain,No,1,20.7
1738,Medium,Rain,Yes,1,30.966666666666665
1205,Low,Rain,Yes,0,21.583333333333332
632,High,Rain,No,1,14.033333333333333
740,High,Clear,No,1,14.833333333333334
570,Medium,Rain,Yes,0,11.0
1362,High,Rain,Yes,1,25.2
916,Low,Rain,No,1,17.766666666666666
237,High,Rain,Yes,1,5.95
1614,High,Rain,No,1,30.9
973,High,Rain,No,1,19.716666666666665
11,Medium,Rain,Yes,0,1.6833333333333333
292,Low,Clear,Yes,0,4.866666666666666
1737,Low,Rain,Yes,0,30.45
1715,Low,Rain,Yes,0,30.083333333333332
367,Medium,Rain,No,1,9.116666666666667
1226,Low,Rain,No,1,23.433333333333334
206,Medium,Clear,Yes,0,3.933333333333333
427,Low,Clear,No,0,8.616666666666667
1410,Medium,Clear,No,1,26.0
614,Medium,Clear,No,1,12.233333333333333
1924,Low,Clear,No,1,34.06666666666667
1306,Low,Rain,No,1,24.766666666666666
972,High,Rain,Yes,1,18.2
92,Medium,Clear,No,1,3.533333333333333
531,Low,Rain,Yes,0,9.85
1976,Low,Rain,No,1,35.93333333333333
908,Low,Rain,Yes,0,16.133333333333333
1767,High,Rain,Yes,1,31.95
236,High,Clear,Yes,0,4.933333333333334
1717,High,Clear,No,1,31.616666666666667
1395,Medium,Rain,Yes,1,25.25
1323,High,Clear,Yes,0,23.55
1394,Medium,Rain,Yes,1,25.233333333333334
306,Medium,Rain,No,1,8.1
1979,Medium,Rain,No,1,36.483333333333334
599,High,Clear,Yes,0,10.983333333333333
1343,Low,Clear,No,1,24.383333333333333
1781,Low,Rain,No,1,32.68333333333334
1430,High,Clear,No,1,26.833333333333332
1155,Medium,Clear,Yes,0,20.25
1057,High,Clear,No,1,20.616666666666667
73,Low,Rain,Yes,0,2.216666666666667
466,High,Rain,Yes,1,9.766666666666666
1327,High,Clear,No,1,25.116666666666667
390,High,Rain,No,1,10.0
1890,Medium,Clear,No,1,34.0
1195,Low,Clear,Yes,0,20.416666666666668
917,Medium,Rain,No,1,18.28333333333333
675,Medium,Clear,Yes,0,11.75
1263,Medium,Clear,Yes,0,22.05
1328,Low,Clear,No,1,24.133333333333333
1218,Low,Clear,No,1,22.3
1382,Medium,Rain,No,1,26.533333333333335
1871,High,Rain,No,1,35.18333333333334
1959,High,Rain,No,1,36.65
851,Medium,Clear,Yes,0,14.683333333333334
600,Medium,Rain,No,1,13.0
1786,Medium,Clear,No,1,32.266666666666666
893,High,Clear,No,1,17.383333333333333
1786,High,Clear,No,1,32.766666666666666
32,High,Rain,No,1,4.033333333333333
1320,Low,Clear,Yes,0,22.5
362,Low,Rain,No,1,8.533333333333333
323,High,Rain,Yes,1,7.383333333333334
919,High,Clear,No,1,17.816666666666666
295,Low,Rain,Yes,0,5.916666666666667
1218,Medium,Rain,Yes,1,22.3
1506,Low,Rain,Yes,0,26.6
1707,Medium,Clear,Yes,0,29.45
491,High,Rain,No,1,11.683333333333334
1182,High,Rain,Yes,1,22.2
907,Medium,Rain,Yes,0,16.616666666666667
106,High,Rain,No,1,5.266666666666667
122,Medium,Clear,Yes,0,2.533333333333333
1458,Medium,Rain,Yes,1,26.3
1471,High,Clear,No,1,27.516666666666666
1700,High,Rain,Yes,1,30.833333333333332
1690,Medium,Clear,Yes,0,29.166666666666668
564,Low,Rain,No,1,11.9
218,High,Rain,No,1,7.133333333333333
1617,Low,Clear,No,1,28.95
111,Low,Rain,No,1,4.35
256,Medium,Clear,No,1,6.266666666666667
697,Medium,Rain,No,1,14.616666666666667
1417,High,Clear,No,1,26.616666666666667
1120,High,Rain,No,1,22.666666666666668
1653,High,Clear,No,1,30.55
1753,Medium,Clear,No,1,31.716666666666665
1372,Medium,Clear,Yes,0,23.866666666666667
57,High,Rain,No,1,4.45
72,High,Rain,Yes,1,3.2
191,Low,Clear,Yes,0,3.183333333333333
1370,Low,Clear,No,1,24.833333333333332
1593,High,Clear,No,1,29.55
464,High,Clear,Yes,0,8.733333333333334
794,Medium,Rain,Yes,0,14.733333333333333
1261,High,Rain,No,1,25.016666666666666
1097,Medium,Rain,Yes,1,20.283333333333335
781,Medium,Clear,No,1,15.016666666666667
1630,Low,Clear,Yes,0,27.666666666666668
1050,High,Rain,Yes,1,20.0
1092,High,Clear,No,1,21.2
660,Medium,Rain,Yes,0,12.5
1986,Low,Clear,Yes,0,33.6
101,High,Clear,Yes,0,2.6833333333333336
116,Medium,Rain,Yes,0,3.4333333333333336
643,Low,Rain,No,1,13.216666666666667
900,High,Rain,Yes,1,17.0
919,Medium,Clear,Yes,0,15.816666666666666
1764,High,Rain,Yes,1,31.9
851,Low,Rain,No,1,16.683333333333334
453,High,Clear,Yes,0,8.55
319,Medium,Clear,No,1,7.316666666666666
313,Medium,Rain,Yes,0,6.716666666666667
1091,High,Rain,Yes,1,20.683333333333334
1992,Medium,Clear,Yes,0,34.2
332,Low,Clear,No,0,7.033333333333333
289,High,Clear,No,1,7.316666666666666
1420,High,Clear,Yes,0,25.166666666666668
850,High,Rain,No,1,17.666666666666664
1739,Medium,Clear,No,1,31.483333333333334
902,Low,Rain,Yes,0,16.03333333333333
896,Low,Clear,No,0,16.433333333333334
1884,High,Rain,No,1,35.4
1769,Low,Clear,Yes,0,29.983333333333334
636,High,Rain,Yes,1,12.6
1811,High,Rain,No,1,34.18333333333334
1463,Low,Clear,Yes,0,24.883333333333333
781,Low,Clear,No,0,14.516666666666667
534,Medium,Rain,No,1,11.9
1626,Low,Rain,No,1,30.1
1308,Medium,Rain,No,1,25.3
1826,Low,Rain,No,1,33.43333333333334
1410,Low,Clear,No,1,25.5
1469,Low,Rain,Yes,0,25.983333333333334
387,High,Rain,No,1,9.95
961,Medium,Clear,No,1,18.016666666666666
781,Medium,Clear,Yes,0,13.516666666666667
1548,Low,Clear,Yes,0,26.3
427,Low,Rain,No,1,9.616666666666667
1824,Medium,Clear,Yes,0,31.4
1478,Medium,Rain,Yes,1,26.633333333333333
1046,High,Clear,Yes,0,18.933333333333334
1870,Low,Clear,Yes,0,31.666666666666668
770,Low,Clear,Yes,0,12.833333333333334
1986,Medium,Clear,No,1,35.6
453,High,Clear,No,1,10.05
192,High,Clear,Yes,0,4.2
1956,Medium,Rain,Yes,1,34.6
1171,Low,Rain,No,1,22.516666666666666
1612,Low,Clear,Yes,0,27.366666666666667
1774,Medium,Rain,No,1,33.06666666666666
1217,High,Rain,Yes,1,22.783333333333335
1347,Low,Clear,No,1,24.45
1018,Low,Clear,Yes,0,17.466666666666665
1436,High,Clear,No,1,26.933333333333334
1378,Low,Rain,No,1,25.966666666666665
557,High,Rain,Yes,1,11.283333333333333
623,High,Clear,Yes,0,11.383333333333333
758,Medium,Clear,No,1,14.633333333333333
1946,High,Clear,No,1,35.43333333333333
1889,Low,Clear,No,1,33.483333333333334
327,Low,Clear,Yes,0,5.45
1848,High,Clear,Yes,0,32.3
1791,Low,Rain,No,1,32.85
1456,Low,Clear,No,1,26.266666666666666
1108,Low,Clear,No,1,20.466666666666665
437,Medium,Rain,No,1,10.283333333333333
1715,Medium,Rain,No,1,32.08333333333333
6,Low,Rain,No,1,2.6
1508,Medium,Rain,Yes,1,27.133333333333333
823,High,Clear,No,1,16.21666666666667
1109,High,Rain,No,1,22.483333333333334
606,Medium,Clear,Yes,0,10.6
954,Low,Rain,Yes,0,16.9
1847,Low,Clear,Yes,0,31.283333333333335
1518,High,Clear,No,1,28.3
809,High,Rain,Yes,1,15.483333333333333
994,Medium,Clear,No,1,18.566666666666666
228,High,Rain,Yes,1,5.8
1560,Low,Rain,No,1,29.0
125,Medium,Clear,No,1,4.083333333333334
1077,Medium,Rain,Yes,1,19.95
81,Medium,Clear,Yes,0,1.85
1522,High,Rain,No,1,29.366666666666667
931,Low,Clear,No,0,17.016666666666666
1659,Medium,Rain,No,1,31.15
1176,High,Rain,Yes,1,22.1
1960,High,Rain,No,1,36.666666666666664
174,High,Clear,Yes,0,3.9
1953,High,Clear,Yes,0,34.05
73,Low,Rain,No,1,3.716666666666667
1983,Medium,Clear,No,1,35.55
1944,High,Rain,No,1,36.4
1963,Medium,Rain,No,1,36.21666666666667
1251,Low,Rain,No,1,23.85
1022,Medium,Clear,No,1,19.533333333333335
1621,Medium,Clear,Yes,0,28.016666666666666
630,High,Clear,Yes,0,11.5
1074,Medium,Rain,No,1,21.4
516,Medium,Clear,No,1,10.6
1488,Low,Clear,No,1,26.8
843,High,Clear,No,1,16.55
1943,Medium,Clear,No,1,34.88333333333333
847,High,Clear,No,1,16.616666666666667
741,Low,Rain,No,1,14.85
1411,Medium,Clear,Yes,0,24.516666666666666
1342,High,Clear,Yes,0,23.866666666666667
744,Medium,Rain,No,1,15.4
1791,High,Clear,Yes,0,31.35
410,High,Rain,No,1,10.333333333333332
350,High,Rain,Yes,1,7.833333333333333
518,Low,Clear,No,0,10.133333333333333
127,High,Rain,No,1,5.616666666666667
1485,Medium,Clear,No,1,27.25
303,High,Clear,Yes,0,6.05
330,Medium,Clear,No,1,7.5
1889,Low,Clear,Yes,0,31.983333333333334
1232,Medium,Clear,Yes,0,21.533333333333335
365,High,Clear,Yes,0,7.083333333333333
236,Medium,Clear,No,1,5.933333333333334
378,Medium,Clear,Yes,0,6.8
1017,High,Rain,No,1,20.95
1550,High,Clear,Yes,0,27.333333333333332
605,Low,Rain,Yes,0,11.083333333333334
1309,High,Clear,No,1,24.816666666666666
621,Low,Rain,Yes,0,11.35
587,High,Rain,No,1,13.283333333333333
956,Medium,Clear,No,1,17.933333333333334
98,High,Rain,No,1,5.133333333333333
1269,Low,Rain,Yes,0,22.65
1196,High,Rain,No,1,23.933333333333334
631,High,Rain,Yes,1,12.516666666666667
24,Medium,Clear,No,1,2.4
1318,High,Rain,Yes,1,24.466666666666665
1253,Low,Clear,Yes,0,21.383333333333333
1575,Low,Rain,Yes,0,27.75
1139,Medium,Rain,Yes,1,20.983333333333334
49,High,Clear,No,1,3.3166666666666664
369,High,Clear,No,1,8.65
688,Low,Clear,Yes,0,11.466666666666667
1224,Medium,Rain,Yes,1,22.4
1836,High,Clear,Yes,0,32.1
1509,High,Clear,No,1,28.15
579,Medium,Rain,Yes,0,11.15
1502,Low,Clear,No,1,27.033333333333335
285,High,Rain,Yes,1,6.75
816,Low,Clear,Yes,0,13.6
51,Medium,Clear,Yes,0,1.35
1160,Medium,Clear,No,1,21.833333333333332
249,High,Rain,Yes,1,6.15
1169,Medium,Rain,Yes,1,21.483333333333334
493,Low,Clear,No,0,9.716666666666667
1521,Medium,Clear,Yes,0,26.35
653,Low,Clear,No,0,12.383333333333333
307,Medium,Rain,Yes,0,6.616666666666666
299,High,Rain,Yes,1,6.983333333333333
801,High,Clear,Yes,0,14.35
552,Medium,Rain,Yes,0,10.7
1162,Medium,Rain,Yes,1,21.366666666666667
387,High,Rain,No,1,9.95
1157,Low,Rain,No,1,22.283333333333335
1564,High,Rain,No,1,30.066666666666666
1775,Medium,Rain,Yes,1,31.583333333333332
63,Medium,Rain,Yes,0,2.55
1291,High,Rain,No,1,25.516666666666666
510,Low,Clear,No,0,10.0
1066,Medium,Clear,Yes,0,18.766666666666666
71,Low,Rain,Yes,0,2.1833333333333336
1530,High,Clear,Yes,0,27.0
1377,Medium,Clear,Yes,0,23.95
844,High,Rain,No,1,17.566666666666666
528,Low,Rain,Yes,0,9.8
651,Low,Rain,Yes,0,11.85
760,Medium,Rain,No,1,15.666666666666666
331,High,Rain,Yes,1,7.516666666666667
1594,Low,Clear,No,1,28.566666666666666
32,Medium,Clear,No,1,2.533333333333333
1490,Medium,Rain,No,1,28.333333333333332
157,Low,Clear,Yes,0,2.6166666666666667
179,Medium,Rain,No,1,5.983333333333333
1681,High,Rain,No,1,32.016666666666666
31,High,Clear,No,1,3.0166666666666666
1330,High,Clear,No,1,25.166666666666668
1941,Medium,Rain,Yes,1,34.35
1500,Low,Clear,No,1,27.0
42,Low,Clear,Yes,0,0.7
1958,Low,Clear,No,1,34.63333333333333
198,Medium,Clear,No,1,5.3
490,Low,Clear,No,0,9.666666666666666
1633,High,Rain,No,1,31.216666666666665
957,Medium,Rain,No,1,18.95
1356,Low,Rain,No,1,25.6
381,Medium,Rain,No,1,9.35
1627,High,Clear,Yes,0,28.616666666666667
818,High,Clear,Yes,0,14.633333333333333
1195,High,Rain,No,1,23.916666666666668
1916,High,Clear,Yes,0,33.43333333333334
602,Low,Rain,Yes,0,11.033333333333333
1822,Medium,Clear,No,1,32.86666666666667
1982,Low,Clear,Yes,0,33.53333333333333
13,Medium,Clear,Yes,0,0.7166666666666667
1633,Medium,Clear,No,1,29.716666666666665
625,Medium,Rain,No,1,13.416666666666666
1523,High,Rain,Yes,1,27.883333333333333
1756,High,Rain,Yes,1,31.766666666666666
1845,Low,Rain,Yes,0,32.25
1077,Medium,Clear,Yes,0,18.95
1668,Medium,Rain,No,1,31.3
138,High,Clear,No,1,4.8
449,Medium,Rain,No,1,10.483333333333334
1474,High,Clear,Yes,0,26.066666666666666
662,High,Clear,No,1,13.533333333333333
1158,Medium,Rain,No,1,22.8
99,Medium,Rain,No,1,4.65
1766,Low,Rain,Yes,0,30.933333333333334
1209,Low,Rain,No,1,23.15
992,High,Rain,Yes,1,18.533333333333335
1645,High,Rain,Yes,1,29.916666666666668
164,Medium,Clear,No,1,4.733333333333333
1336,Low,Rain,No,1,25.266666666666666
688,Low,Rain,No,1,13.966666666666667
789,Low,Rain,Yes,0,14.15
36,Medium,Clear,No,1,2.6
98,Low,Clear,Yes,0,1.6333333333333333
307,Medium,Clear,No,1,7.116666666666666
1763,Medium,Clear,Yes,0,30.383333333333333
418,Medium,Rain,No,1,9.966666666666667
652,Low,Rain,No,1,13.366666666666667
1261,Medium,Rain,No,1,24.516666666666666
1819,Low,Clear,No,1,32.31666666666666
578,Low,Rain,No,1,12.133333333333333
1095,High,Rain,No,1,22.25
43,Low,Rain,No,1,3.216666666666667
92,Medium,Clear,No,1,3.533333333333333
918,High,Clear,No,1,17.8
1407,Medium,Rain,No,1,26.95
1574,Low,Rain,Yes,0,27.733333333333334
35,Low,Clear,Yes,0,0.5833333333333334
728,Low,Clear,Yes,0,12.133333333333333
1809,Low,Rain,No,1,33.15
671,High,Clear,Yes,0,12.183333333333334
572,High,Clear,No,1,12.033333333333333
1176,High,Clear,Yes,0,21.1
1142,Medium,Clear,Yes,0,20.033333333333335
1854,High,Clear,Yes,0,32.4
1807,High,Clear,No,1,33.11666666666667
919,Medium,Clear,Yes,0,15.816666666666666
1360,High,Clear,No,1,25.666666666666668
235,High,Rain,No,1,7.416666666666666
1724,Low,Clear,No,1,30.733333333333334
1632,Medium,Clear,No,1,29.7
1772,Medium,Rain,No,1,33.03333333333333
1274,High,Rain,No,1,25.233333333333334
845,Medium,Rain,Yes,0,15.583333333333334
718,High,Rain,Yes,1,13.966666666666667
837,Medium,Clear,No,1,15.95
1165,High,Clear,Yes,0,20.916666666666668
947,High,Clear,Yes,0,16.78333333333333
619,High,Clear,Yes,0,11.316666666666666
1388,High,Clear,Yes,0,24.633333333333333
174,Low,Rain,No,1,5.4
1630,High,Clear,No,1,30.166666666666668
996,High,Rain,Yes,1,18.6
434,Medium,Rain,Yes,0,8.733333333333334
130,Low,Rain,Yes,0,3.1666666666666665
1596,Low,Rain,Yes,0,28.1
141,Medium,Clear,Yes,0,2.85
1240,Medium,Rain,No,1,24.166666666666668
1403,High,Rain,Yes,1,25.883333333333333
566,Low,Clear,No,0,10.933333333333334
161,High,Clear,No,1,5.183333333333334
1545,High,Clear,No,1,28.75
1056,High,Clear,Yes,0,19.1
1501,Low,Rain,Yes,0,26.516666666666666
243,High,Clear,No,1,6.55
1820,Medium,Clear,Yes,0,31.333333333333332
1529,Low,Clear,Yes,0,25.983333333333334
1024,High,Clear,Yes,0,18.566666666666666
388,High,Clear,Yes,0,7.466666666666667
1559,High,Clear,No,1,28.983333333333334
1739,Medium,Clear,No,1,31.483333333333334
1333,High,Clear,No,1,25.216666666666665
738,High,Clear,No,1,14.8
427,High,Rain,No,1,10.616666666666667
1649,High,Clear,Yes,0,28.983333333333334
1040,Low,Rain,Yes,0,18.833333333333332
963,Medium,Clear,No,1,18.05
1646,High,Rain,No,1,31.433333333333334
1055,Low,Clear,No,1,19.583333333333332
374,Medium,Clear,No,1,8.233333333333334
483,High,Rain,Yes,1,10.05
1918,Low,Rain,No,1,34.96666666666667
370,Low,Rain,No,1,8.666666666666668
39,Medium,Rain,Yes,0,2.15
1325,Medium,Rain,Yes,1,24.083333333333332
82,High,Clear,No,1,3.8666666666666667
491,High,Rain,Yes,1,10.183333333333334
1644,Medium,Clear,Yes,0,28.4
516,High,Rain,No,1,12.1
1794,High,Clear,No,1,32.9
411,Medium,Rain,Yes,0,8.35
185,High,Rain,No,1,6.583333333333334
790,Low,Rain,Yes,0,14.166666666666666
918,Low,Rain,Yes,0,16.3
1484,Medium,Clear,Yes,0,25.733333333333334
1235,Medium,Clear,No,1,23.083333333333332
1118,Medium,Clear,No,1,21.133333333333333
1599,Medium,Clear,Yes,0,27.65
738,Medium,Rain,No,1,15.3
1099,High,Rain,No,1,22.316666666666666
321,High,Rain,Yes,1,7.35
1011,Low,Rain,Yes,0,18.35
1227,High,Clear,No,1,23.45
913,Medium,Rain,No,1,18.21666666666667
437,Low,Rain,Yes,0,8.283333333333333
173,High,Rain,No,1,6.383333333333333
1496,Medium,Clear,Yes,0,25.933333333333334
50,Medium,Clear,No,1,2.8333333333333335
1063,High,Clear,No,1,20.716666666666665
1700,Medium,Clear,Yes,0,29.333333333333332
1082,Medium,Rain,Yes,1,20.033333333333335
942,High,Rain,No,1,19.2
1609,Low,Clear,Yes,0,27.316666666666666
781,High,Clear,No,1,15.516666666666667
1080,Medium,Clear,No,1,20.5
1244,Low,Rain,No,1,23.733333333333334
1634,Medium,Rain,Yes,1,29.233333333333334
1480,Low,Rain,No,1,27.666666666666668
434,High,Rain,No,1,10.733333333333334
374,Low,Clear,No,0,7.733333333333333
300,High,Rain,Yes,1,7.0
358,Medium,Rain,Yes,0,7.466666666666667
313,Medium,Rain,Yes,0,6.716666666666667
403,Low,Clear,Yes,0,6.716666666666667
91,Medium,Clear,Yes,0,2.0166666666666666
1199,Low,Clear,Yes,0,20.483333333333334
1748,High,Clear,Yes,0,30.633333333333333
1009,Medium,Rain,No,1,20.316666666666666
1885,Medium,Clear,No,1,33.91666666666667
328,Medium,Clear,Yes,0,5.966666666666667
1158,Medium,Clear,Yes,0,20.3
268,Low,Clear,Yes,0,4.466666666666667
492,High,Clear,No,1,10.7
558,High,Clear,Yes,0,10.3
7,Medium,Rain,No,1,3.1166666666666667
780,Low,Rain,Yes,0,14.0
1746,High,Clear,Yes,0,30.6
1601,Medium,Clear,Yes,0,27.683333333333334
711,High,Rain,No,1,15.35
1231,Medium,Rain,Yes,1,22.516666666666666
1683,Medium,Rain,No,1,31.55
320,High,Rain,Yes,1,7.333333333333333
1993,Low,Clear,No,1,35.21666666666667
799,Medium,Rain,No,1,16.316666666666666
1290,Medium,Rain,Yes,1,23.5
1423,Medium,Clear,No,1,26.216666666666665
398,Low,Rain,Yes,0,7.633333333333334
1522,Low,Clear,No,1,27.366666666666667
1876,Low,Rain,No,1,34.266666666666666
449,Low,Clear,No,0,8.983333333333334
963,Low,Rain,No,1,18.55
1206,High,Clear,No,1,23.1
1161,Medium,Rain,No,1,22.85
225,High,Rain,No,1,7.25
819,Medium,Clear,No,1,15.65
527,High,Rain,No,1,12.283333333333333
1779,Low,Clear,Yes,0,30.15
1888,Low,Rain,No,1,34.46666666666667
1092,Low,Clear,No,1,20.2
952,High,Rain,Yes,1,17.866666666666667
1616,High,Clear,No,1,29.933333333333334
1973,Medium,Clear,Yes,0,33.88333333333333
1654,Low,Rain,Yes,0,29.066666666666666
70,Low,Rain,Yes,0,2.166666666666667
1012,Low,Rain,Yes,0,18.366666666666667
1686,High,Rain,No,1,32.1
909,High,Clear,No,1,17.65
1709,High,Clear,Yes,0,29.983333333333334
1801,Medium,Rain,No,1,33.516666666666666
583,Low,Rain,No,1,12.216666666666667
572,Low,Clear,Yes,0,9.533333333333333
519,High,Clear,No,1,11.15
713,Low,Rain,Yes,0,12.883333333333333
176,High,Rain,Yes,1,4.933333333333334
1977,High,Rain,Yes,1,35.45
184,High,Clear,Yes,0,4.066666666666666
649,Low,Rain,No,1,13.316666666666666
418,Medium,Clear,No,1,8.966666666666667
632,Low,Rain,Yes,0,11.533333333333333
775,Low,Rain,Yes,0,13.916666666666666
1290,High,Clear,Yes,0,23.0
1763,Medium,Rain,No,1,32.88333333333333
1352,Medium,Rain,No,1,26.033333333333335
566,High,Clear,Yes,0,10.433333333333334
1704,High,Rain,No,1,32.4
1920,Low,Rain,No,1,35.0
1971,High,Rain,Yes,1,35.35
372,Low,Clear,No,0,7.7
701,High,Clear,Yes,0,12.683333333333334
1906,Low,Rain,Yes,0,33.266666666666666
1842,High,Rain,Yes,1,33.2
1441,High,Clear,Yes,0,25.516666666666666
13,Low,Clear,Yes,0,0.21666666666666667
1145,Low,Clear,No,1,21.083333333333332
1732,Low,Clear,Yes,0,29.366666666666667
